subject,session,trial_type,f1,f2
def-1-16-08,1,miss,49,400
def-1-16-08,1,miss,400,19
def-1-16-08,1,miss,145,14
def-1-16-08,1,miss,159,54
def-1-16-08,1,miss,54,1977
def-1-16-08,1,miss,882,192
def-1-16-08,1,miss,192,991
def-1-16-08,1,miss,991,570
def-1-16-08,1,miss,9,125
def-1-16-08,1,miss,113,140
def-1-16-08,1,miss,140,162
def-1-16-08,1,miss,33,13
def-1-16-08,1,miss,13,1977
def-1-16-08,1,miss,1977,51
def-1-16-08,1,miss,1977,145
def-1-16-08,1,miss,145,28
def-1-16-08,1,miss,28,44
def-1-16-08,1,miss,44,176
def-1-16-08,1,miss,13,156
def-1-16-08,1,miss,991,12
def-1-16-08,1,miss,364,400
def-1-16-08,1,miss,28,28
def-1-16-08,1,miss,28,298
def-1-16-08,1,miss,125,81
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,131,131
def-1-16-08,1,cr,25,25
def-1-16-08,1,cr,25,25
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,1131,1131
def-1-16-08,1,cr,334,334
def-1-16-08,1,cr,334,334
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,12,12
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,26,26
def-1-16-08,1,cr,26,26
def-1-16-08,1,cr,26,26
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,53,53
def-1-16-08,1,cr,53,53
def-1-16-08,1,cr,53,53
def-1-16-08,1,cr,53,53
def-1-16-08,1,cr,53,53
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,38,38
def-1-16-08,1,cr,400,400
def-1-16-08,1,cr,400,400
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,73,73
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,470,470
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,165,165
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,23,23
def-1-16-08,1,cr,11,11
def-1-16-08,1,cr,11,11
def-1-16-08,1,cr,169,169
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,382,382
def-1-16-08,1,cr,84,84
def-1-16-08,1,cr,84,84
def-1-16-08,1,cr,84,84
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,115,115
def-1-16-08,1,cr,115,115
def-1-16-08,1,cr,1131,1131
def-1-16-08,1,cr,230,230
def-1-16-08,1,cr,230,230
def-1-16-08,1,cr,34,34
def-1-16-08,1,cr,34,34
def-1-16-08,1,cr,138,138
def-1-16-08,1,cr,138,138
def-1-16-08,1,cr,102,102
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,98,98
def-1-16-08,1,cr,98,98
def-1-16-08,1,cr,98,98
def-1-16-08,1,cr,17,17
def-1-16-08,1,cr,1131,1131
def-1-16-08,1,cr,35,35
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,68,68
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,197,197
def-1-16-08,1,cr,197,197
def-1-16-08,1,cr,35,35
def-1-16-08,1,cr,35,35
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,237,237
def-1-16-08,1,cr,99,99
def-1-16-08,1,cr,99,99
def-1-16-08,1,cr,99,99
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,22,22
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,268,268
def-1-16-08,1,cr,29,29
def-1-16-08,1,cr,444,444
def-1-16-08,1,cr,287,287
def-1-16-08,1,cr,287,287
def-1-16-08,1,cr,532,532
def-1-16-08,1,cr,664,664
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,192,192
def-1-16-08,1,cr,192,192
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,224,224
def-1-16-08,1,cr,321,321
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,10,10
def-1-16-08,1,cr,400,400
def-1-16-08,1,cr,11,11
def-1-16-08,1,cr,664,664
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,32,32
def-1-16-08,1,cr,32,32
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,129,129
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,252,252
def-1-16-08,1,cr,252,252
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,25,25
def-1-16-08,1,cr,25,25
def-1-16-08,1,cr,14,14
def-1-16-08,1,cr,14,14
def-1-16-08,1,cr,613,613
def-1-16-08,1,cr,85,85
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,29,29
def-1-16-08,1,cr,51,51
def-1-16-08,1,cr,51,51
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,21,21
def-1-16-08,1,cr,21,21
